Name,Platform,YearOfRelease,Genre,Publisher,Developer,NorthAmericaSales,EuropeSales,JapanSales,OtherSales,GlobalSales,CriticScore,UserScore,UserCount
Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,Square Enix,ArtePiazza,0.3,0.02,1.27,0.03,1.62,80,7.9,50
Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher,D3Publisher,0.17,0,0,0.01,0.18,51,7.5,17
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,Bec,0.19,0,0,0.02,0.2,57,6.2,10
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,"Spike, Namco Bandai Games",1.15,0,0.76,1.09,3,73,9.2,173
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,"Spike, Namco Bandai Games",0.32,0.36,0.26,0.09,1.02,72,8.4,61
Draglade,DS,2007,Fighting,505 Games,Dimps Corporation,0.09,0,0,0.01,0.1,71,7.5,4
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,Black Lantern Studios,0.97,0.01,0,0.07,1.05,44,2,47
Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,Paon Corporation,0.19,0.26,0.11,0.06,0.62,46,6.8,26
Domino Rally,Wii,2007,Action,Nordcurrent,RED Entertainment,0.05,0,0,0,0.05,57,2,19
Dokapon Kingdom,PS2,2007,Role-Playing,Sting,Sting,0.05,0.04,0.02,0.01,0.11,61,6.5,8
Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,Buena Vista Games,0.17,0,0,0.01,0.19,62,6.3,4
Disney's Meet the Robinsons,X360,2007,Action,Disney Interactive Studios,Buena Vista Games,0.07,0,0,0.01,0.08,65,2,31
Disney's Meet the Robinsons,GC,2007,Action,Disney Interactive Studios,Avalanche Software,0.03,0.01,0,0,0.04,68,2,8
Disney's Meet the Robinsons,DS,2007,Action,Disney Interactive Studios,"Climax Group, Climax Studios",0.02,0,0,0,0.02,64,2,29
Disney's Kim Possible: Global Gemini,DS,2007,Platform,Disney Interactive Studios,Artificial Mind and Movement,0.05,0.01,0,0,0.06,70,1,3
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1st Playable Productions,1.12,0.19,0,0.11,1.43,5,2,12
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,Papaya Studios,1.22,0.03,0,0.09,1.35,4,4.3,4
Disney Princess: Enchanted Journey,PS2,2007,Adventure,Disney Interactive Studios,Papaya Studios,0.11,0.09,0,0.03,0.23,3,1,24
Disney Friends,DS,2007,Simulation,Disney Interactive Studios,"Amaze Entertainment, Walt Disney Japan",0.12,0.03,0,0.01,0.16,11,7.3,4
DiRT,PS3,2007,Racing,Codemasters,Codemasters,0.16,0.66,0,0.23,1.05,83,8,32
DiRT,X360,2007,Racing,Codemasters,Codemasters,0.38,0.4,0,0.09,0.87,83,7.4,94
DiRT,PC,2007,Racing,Codemasters,Codemasters,0,0.02,0,0,0.02,84,7.3,91
Dinosaur King,DS,2007,Strategy,Sega,Climax Entertainment,0.2,0,0,0.02,0.22,61,8,9
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,Rare Ltd.,1.09,0.03,0,0.09,1.22,63,7.5,27
Dewy's Adventure,Wii,2007,Platform,Konami Digital Entertainment,Konami,0.14,0,0.01,0.01,0.16,67,6.3,15
Dementium: The Ward,DS,2007,Shooter,SouthPeak Games,Renegade Kid,0.15,0.01,0,0.01,0.17,72,7.9,37
Def Jam Icon,PS3,2007,Action,Electronic Arts,EA Chicago,0.16,0.19,0,0.08,0.42,68,4.4,40
Def Jam Icon,X360,2007,Action,Electronic Arts,EA Chicago,0.3,0.01,0,0.03,0.34,69,6.3,108
Death Jr. and the Science Fair of Doom,DS,2007,Platform,Konami Digital Entertainment,Foundation 9 Entertainment,0.08,0,0,0.01,0.08,47,7.5,6
Deal or No Deal,DS,2007,Misc,Mindscape,Artefacts Studio,1.15,0.4,0,0.15,1.7,20,1.9,41
Dead Head Fred,PSP,2007,Action,D3Publisher,Vicious Cycle,0.04,0,0,0,0.04,75,7.3,23
Dave Mirra BMX Challenge,Wii,2007,Sports,505 Games,Left Field Productions,0.06,0,0,0.01,0.07,36,1,47
Dancing With The Stars,Wii,2007,Misc,Activision,Zoe Mode,0.22,0,0,0.02,0.24,42,6.2,5
Dancing With The Stars,PS2,2007,Misc,Activision,Zoe Mode,0.08,0.06,0,0.02,0.16,6,2,45
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,Konami,1.35,0.52,0,0.19,2.07,73,7.1,27
Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,Konami,0.46,0,0,0.04,0.5,65,7.4,5
Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,Konami,0.3,0,0,0.02,0.32,74,8.8,5
Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,Konami,0.64,0.03,0.02,0.1,0.79,70,2,33
Cube,PSP,2007,Puzzle,D3Publisher,Metia Interactive,0.02,0,0,0,0.02,60,2,7
CSI: Dark Motives,DS,2007,Adventure,Ubisoft,Powerhead Games,0.05,0.01,0,0.01,0.07,9,6.7,6
CSI: 3 Dimensions of Murder,PS2,2007,Adventure,Ubisoft,Ubisoft Bulgaria,0.07,0.06,0,0.02,0.14,10,1,35
Crysis,PC,2007,Shooter,Electronic Arts,Crytek,0,0.69,0,0.02,0.71,91,8,1970
Crush,PSP,2007,Puzzle,Sega,Zoe Mode,0.07,0,0,0.01,0.08,83,9,21
Cruis'n,Wii,2007,Racing,Midway Games,Midway Studios - San Diego,0.1,0.01,0,0.01,0.12,25,3.7,18
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,Square Enix,1.35,0.59,0.8,0.43,3.18,83,8,463
Crazy Taxi: Fare Wars,PSP,2007,Racing,Sega,Sega,0.1,0.22,0.02,0.12,0.47,64,7.1,18
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,Crave,0.42,0.01,0,0.03,0.46,65,2,11
Crash of the Titans,PSP,2007,Action,Vivendi Games,SuperVillain Studios,0.25,0.24,0,0.14,0.63,4,7.1,24
Crash of the Titans,DS,2007,Action,Vivendi Games,Amaze Entertainment,0.42,0.02,0,0.04,0.48,73,5.9,10
Crash of the Titans,Wii,2007,Action,Vivendi Games,Radical Entertainment,0.39,0.02,0,0.03,0.45,69,5.8,22
Crash of the Titans,PS2,2007,Action,Vivendi Games,Radical Entertainment,0.34,0.01,0,0.06,0.41,70,5.9,48
Crash of the Titans,X360,2007,Action,Vivendi Games,Radical Entertainment,0.27,0.02,0,0.02,0.32,65,6.3,39
Cranium Kabookii,Wii,2007,Misc,Ubisoft,Ubisoft Quebec,0.13,0,0,0.01,0.14,64,5.4,13
Crackdown,X360,2007,Shooter,Microsoft Game Studios,Realtime Worlds,1,0.53,0.03,0.18,1.75,83,8,340
Counter Force,Wii,2007,Shooter,505 Games,Hyper-Devbox,0.04,0,0,0,0.05,9,2,22
Cosmic Family,Wii,2007,Misc,Ubisoft,Ubisoft Barcelona,0.07,0,0,0.01,0.08,54,5.7,6
Cory in the House,DS,2007,Action,Disney Interactive Studios,Handheld Games,0.1,0,0,0.01,0.11,11,9.5,1273
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,OfficeCreate,1.41,1.12,0.05,0.3,2.89,61,5.3,23
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,Office Create,1.6,1.49,0.1,0.39,3.58,70,8,9
Contra 4,DS,2007,Shooter,Konami Digital Entertainment,WayForward,0.28,0,0.01,0.02,0.3,83,8.4,45
Conan,PS3,2007,Action,THQ,Nihilistic,0.13,0.15,0,0.05,0.34,69,7.2,40
Conan,X360,2007,Action,THQ,Nihilistic,0.16,0.02,0,0.01,0.19,69,7.3,67
Company of Heroes: Opposing Fronts,PC,2007,Strategy,THQ,Relic,0.01,0.03,0,0.01,0.04,87,8.6,235
Combat Mission: Shock Force,PC,2007,Strategy,Paradox Interactive,Big Time Software,0,0.03,0,0,0.03,62,3.3,86
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,Visual Concepts,0.17,0.13,0,0.04,0.35,66,1,24
College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,Visual Concepts,0.16,0,0,0.01,0.18,81,6.9,16
College Hoops 2K8,PS3,2007,Sports,Take-Two Interactive,Visual Concepts,0.13,0,0,0.01,0.14,82,5.2,6
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,2K Sports,0.16,0,0,0.01,0.18,81,7.1,8
Coded Arms: Contagion,PSP,2007,Shooter,Konami Digital Entertainment,Creat Studios,0.05,0,0,0.01,0.06,56,6.6,28
Code Lyoko: Quest for Infinity,Wii,2007,Action,Game Factory,The Game Factory,0.07,0.01,0,0.01,0.09,58,8.5,8
Code Lyoko,DS,2007,Action,Game Factory,DC Studios,0.03,0.01,0,0,0.05,63,6.8,13
Clive Barker's Jericho,X360,2007,Shooter,Codemasters,"Mercury Steam, Alchemic Productions",0.28,0.01,0,0.02,0.32,63,7.4,70
Clive Barker's Jericho,PS3,2007,Shooter,Codemasters,"Mercury Steam, Alchemic Productions",0.17,0.01,0,0.02,0.2,60,7.1,52
Clive Barker's Jericho,PC,2007,Shooter,Codemasters,"Mercury Steam, Alchemic Productions",0,0.01,0,0,0.01,63,7.5,218
City Life: World Edition,PC,2007,Simulation,Monte Christo Multimedia,Monte Cristo Multimedia,0,0.04,0,0,0.04,75,8.2,9
Chili Con Carnage,PSP,2007,Shooter,Eidos Interactive,Deadline Games,0,0.01,0,0,0.02,74,8.2,13
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,Destination Software,0.32,0,0,0.02,0.35,27,4.8,26
Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,FrontLine Studios,0.13,0,0,0.01,0.14,19,3.1,7
Chicken Hunter,DS,2007,Shooter,Phoenix Games,Phenomedia,0.02,0,0,0,0.02,39,1,30
Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown,Skip Ltd.,0,0,0.19,0,0.19,78,7.5,13
Chessmaster: The Art of Learning,DS,2007,Misc,Ubisoft,Ubisoft,0.12,0.03,0,0.01,0.15,15,6.7,10
Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,Konami,0.22,0.09,0.04,0.07,0.41,80,7.8,62
Castle of Shikigami III,Wii,2007,Shooter,PQube,Alfa System,0.04,0,0,0,0.04,67,7.6,9
Cars: Mater-National Championship,DS,2007,Racing,THQ,Rainbow Studios,0.63,0,0,0.05,0.68,69,6.8,5
Cars: Mater-National Championship,PS3,2007,Racing,THQ,Rainbow Studios,0.37,0.01,0,0.03,0.41,63,4.8,4
Cars: Mater-National Championship,PS2,2007,Racing,THQ,Rainbow Studios,0.12,0.09,0,0.03,0.25,67,1,42
Cars: Mater-National Championship,X360,2007,Racing,THQ,Rainbow Studios,0.13,0,0,0.01,0.14,58,7.8,6
Cars Mater-National Championship,Wii,2007,Racing,THQ,Incinerator Games,0.46,0,0,0.04,0.49,13,6.7,6
Carnival Games,Wii,2007,Misc,Take-Two Interactive,Cat Daddy Games,2.12,1.47,0.05,0.42,4.05,56,6,44
Call of Juarez,X360,2007,Shooter,Ubisoft,Techland,0.14,0.02,0,0.01,0.18,71,6.9,46
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,Amaze Entertainment,0.52,1.02,0,0.59,2.13,64,7.5,30
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,Infinity Ward,5.93,2.36,0.13,0.9,9.31,94,8.4,1320
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,Infinity Ward,3.11,2.26,0.28,1.03,6.68,94,8.4,993
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,Infinity Ward,0,1.12,0,0.03,1.15,92,8.5,2360
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,n-Space,0.95,0.01,0.01,0.08,1.05,75,6.9,36
Cake Mania,DS,2007,Puzzle,Majesco Entertainment,Digital Embryo,0.09,0.01,0,0.01,0.11,55,6.1,7
Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,Sand Grain Studios,0.13,0.11,0,0.04,0.27,2,2,31
Cabela's Trophy Bucks,X360,2007,Sports,Activision Value,FUN Labs,0.04,0,0,0,0.05,39,3,4
Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,MagicWand,0.58,0,0,0.05,0.63,11,1,15
Cabela's Big Game Hunter (2008),PS2,2007,Sports,Activision Value,Activision,0.1,0.08,0,0.03,0.2,2,2,5
Cabela's Big Game Hunter (2008),X360,2007,Sports,Activision Value,FUN Labs,0.06,0,0,0,0.06,51,2,25
Burnout Dominator,PSP,2007,Racing,Electronic Arts,Criterion Games,0.02,0.38,0.01,0.05,0.45,76,8.2,27
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,Neko Entertainment,0.85,0.01,0,0.07,0.93,61,4.8,5
Bubble Bobble Double Shot,DS,2007,Puzzle,Rising Star Games,Marvelous Entertainment,0.03,0,0,0,0.04,50,4.8,4
Brunswick Pro Bowling,PS2,2007,Sports,505 Games,Point of View,0.2,0.15,0,0.05,0.4,5,2,24
Brunswick Pro Bowling,Wii,2007,Sports,505 Games,Point of View,0.35,0.01,0,0.03,0.38,52,5.4,23
Brunswick Pro Bowling,PSP,2007,Sports,505 Games,Point of View,0.19,0,0,0.02,0.21,10,7.3,4
Brothers In Arms DS,DS,2007,Shooter,Ubisoft,Gameloft,0.03,0,0,0,0.04,72,8,25
Brooktown High: Senior Year,PSP,2007,Simulation,Konami Digital Entertainment,Backbone Entertainment,0.09,0,0,0.01,0.1,51,1,43
Bratz: The Movie,PS2,2007,Simulation,THQ,Blitz Games,0.24,0.18,0,0.06,0.48,3,5,4
Bratz: The Movie,Wii,2007,Simulation,THQ,Blitz Games,0.23,0.01,0,0.02,0.26,4,5,6
Bratz Ponyz,DS,2007,Adventure,Game Factory,Neko Entertainment,0.26,0,0,0.02,0.28,6,1,19
Bratz 4 Real,DS,2007,Adventure,THQ,THQ,0.29,0.22,0,0.06,0.57,6,2,4
Brain Assist,DS,2007,Misc,Sega,Sega,0.12,0,0,0.01,0.13,53,1,46
Boogie,Wii,2007,Misc,Electronic Arts,EA Montreal,0.43,0.03,0,0.04,0.49,57,5.3,54
Boogie,DS,2007,Misc,Electronic Arts,EA Montreal,0.24,0,0,0.02,0.27,58,2,3
Boogie,PS2,2007,Misc,Electronic Arts,"Pipeworks Software, Inc.",0.09,0.07,0,0.02,0.19,52,2,24
Bomberman Land,Wii,2007,Misc,Rising Star Games,Racjin,0.11,0.01,0.03,0.01,0.17,57,8,10
Bomberman Land,PSP,2007,Misc,Hudson Entertainment,Racjin,0.06,0,0,0,0.06,55,7.8,4
Bleach: Dark Souls,DS,2007,Fighting,Sega,Treasure,0.12,0.02,0,0.01,0.15,82,7.9,14
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,Ubisoft,0.74,0.04,0,0.06,0.83,57,6.7,28
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft,Ubisoft Romania,0.1,0.03,0,0.02,0.15,70,7.2,12
Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,Ubisoft Romania,0.11,0.02,0,0.01,0.14,72,7.8,12
Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei,Omega Force,0.1,0.03,0.14,0.02,0.28,58,7.9,28
Bladestorm: The Hundred Years' War,X360,2007,Action,Tecmo Koei,Omega Force,0.08,0.01,0,0.01,0.09,63,6.8,16
Blacksite: Area 51,X360,2007,Shooter,Midway Games,Midway Studios - Austin,0.29,0.22,0,0.06,0.57,62,6.1,65
Blacksite: Area 51,PS3,2007,Shooter,Midway Games,Midway Studios - Austin,0.07,0.01,0,0.01,0.08,56,6.3,18
BioShock,X360,2007,Shooter,Take-Two Interactive,"Irrational Games, 2K Marin",1.65,0.85,0.05,0.28,2.83,96,8.9,2249
BioShock,PC,2007,Shooter,Take-Two Interactive,"Irrational Games, 2K Marin",0.01,0.39,0,0.02,0.41,96,8.5,3606
Bionicle Heroes,Wii,2007,Shooter,Eidos Interactive,Traveller's Tales,0.03,0,0,0,0.04,52,5.8,5
Billy the Wizard: Rocket Broomstick Racing,Wii,2007,Racing,Metro 3D,Data Design Interactive,0.04,0,0,0,0.05,9,0.3,4
Biker Mice From Mars,DS,2007,Racing,Game Factory,Full Fat,0.03,0,0,0,0.03,3,1,50
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,Nintendo,1.05,1.91,0.41,0.42,3.79,68,6.9,39
Betty Boop's Double Shift,DS,2007,Puzzle,Zoo Digital Publishing,DSI Games,0.03,0,0,0,0.03,4,1,28
Beowulf: The Game,X360,2007,Action,Ubisoft,Ubisoft Shanghai,0.36,0.01,0,0.03,0.4,51,4.7,30
Beowulf: The Game,PS3,2007,Action,Ubisoft,Ubisoft,0.14,0.01,0,0.01,0.16,51,5.2,17
Beowulf: The Game,PSP,2007,Action,Ubisoft,Virtuos,0.08,0,0,0.01,0.09,44,5.4,7
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,High Voltage Software,0.54,0.55,0,0.13,1.23,63,7.7,9
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,High Voltage Software,0.09,0,0,0.74,0.84,1,7.6,14
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,High Voltage Software,0.23,0.3,0,0.18,0.71,60,7.2,23
Bee Movie Game,DS,2007,Action,Activision,Vicarious Visions,0.41,0,0,0.03,0.45,58,2,8
Bee Movie Game,Wii,2007,Action,Activision,Smart Bomb Interactive,0.3,0.01,0,0.03,0.33,62,7.6,7
Bee Movie Game,X360,2007,Action,Activision,Beenox,0.16,0,0,0.01,0.17,71,5.8,13
Bee Movie Game,PS2,2007,Action,Activision,Beenox,0.05,0.04,0,0.01,0.1,65,7.5,4
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,Now Production,0.14,0.02,0.15,0.02,0.32,73,7,40
Battlestations: Midway,X360,2007,Strategy,Eidos Interactive,Eidos Interactive,0.21,0.02,0,0.02,0.26,73,7.1,40
Battlestations: Midway,PC,2007,Strategy,Eidos Interactive,Eidos Interactive,0,0.01,0,0,0.01,76,7.3,46
Battalion Wars 2,Wii,2007,Strategy,Nintendo,Kuju Entertainment,0.22,0.02,0.08,0.02,0.34,75,7.6,45
Baroque,PS2,2007,Role-Playing,Rising Star Games,Sting,0.05,0.04,0.02,0.01,0.13,60,8.8,44
Barbie in The 12 Dancing Princesses,DS,2007,Adventure,Activision,WayForward,0.09,0.01,0,0.01,0.1,1,2,9
Barbie as The Island Princess,Wii,2007,Adventure,Activision,"Human Soft, Ivolgamus",0.42,0,0,0.03,0.45,7,2,4
Barbie as The Island Princess,DS,2007,Adventure,Activision,"Human Soft, Ivolgamus",0.28,0.01,0,0.02,0.31,11,2,20
Barbie as The Island Princess,PS2,2007,Adventure,Activision,"Human Soft, Ivolgamus",0.06,0.04,0,0.02,0.12,5,1,27
Balls of Fury,Wii,2007,Sports,Zoo Digital Publishing,Black Lantern Studios,0.02,0,0,0,0.02,19,2.8,25
Balls of Fury,DS,2007,Sports,Zoo Digital Publishing,Black Lantern Studios,0.02,0,0,0,0.02,62,2,40
Balloon Pop,Wii,2007,Puzzle,505 Games,UFO Interactive,0.04,0,0,0,0.05,1,2,32
Backyard Hockey,DS,2007,Sports,Atari,Mistic Software,0.06,0,0,0,0.06,5,1,13
Baby Pals,DS,2007,Simulation,THQ,Brain Toys,0.26,0.01,0,0.02,0.28,9,1,15
B-17: Fortress in the Sky,DS,2007,Simulation,DSI Games,SkyRiver Studios,0.02,0,0,0,0.02,38,1,35
Atari Classics Evolved,PSP,2007,Misc,Atari,Stainless Games,0.08,0,0,0.01,0.09,64,6,4
Assassin's Creed,X360,2007,Adventure,Ubisoft,Ubisoft Montreal,3.28,1.64,0.07,0.56,5.54,81,7.7,1074
Assassin's Creed,PS3,2007,Adventure,Ubisoft,Ubisoft Montreal,1.91,2,0.09,0.82,4.82,81,7.3,769
Armored Core 4,X360,2007,Simulation,505 Games,From Software,0.19,0.01,0.03,0.02,0.25,65,7.2,31
Arkanoid DS,DS,2007,Puzzle,Square Enix,Taito Corporation,0.06,0,0,0,0.06,61,7,5
Are You Smarter Than A 5th Grader?,DS,2007,Misc,Mindscape,ValuSoft,0.48,0,0,0.04,0.53,15,1,28
Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,Atomic Planet Entertainment,0.13,0,0,0.01,0.14,38,2,27
Arctic Tale,Wii,2007,Adventure,Zoo Digital Publishing,Atomic Planet Entertainment,0.04,0,0,0,0.04,15,1,26
Arcana Heart,PS2,2007,Fighting,AQ Interactive,Examu,0.06,0.05,0.04,0.02,0.16,77,8.1,8
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,Creat Studios,0.03,0.03,0,0.01,0.07,37,5.9,10
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,Capcom,0.28,0.04,0.64,0.03,0.99,78,8.1,84
Anubis II,Wii,2007,Platform,Metro 3D,Data Design Interactive,0.06,0,0,0,0.07,19,2.7,28
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,Sunflowers Interactive,0.07,0.05,0,0.01,0.13,78,7.5,19
AniMates!,DS,2007,Simulation,Lexicon Entertainment,Dreamcatcher,0.02,0,0,0,0.03,33,2.5,4
Animal Paradise,DS,2007,Simulation,Empire Interactive,Empire Interactive,0.09,0.14,0,0.02,0.25,49,1,17
Animal Genius,DS,2007,Puzzle,Ubisoft,Big Blue Bubble Inc.,0.1,0,0,0.01,0.11,13,1,4
American Girl: Julie Finds a Way,DS,2007,Adventure,THQ,Webfoot Technologies,0.1,0,0,0.01,0.1,7,1,13
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,Red Storm Entertainment,0.08,0,0,0.01,0.08,43,6.7,55
Alvin and the Chipmunks,DS,2007,Misc,Brash Entertainment,Sensory Sweep,0.12,0,0,0.01,0.14,8,2,14
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,Sensory Sweep,0.04,0.03,0,0.01,0.07,33,4.5,6
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,Sensory Sweep,0.05,0,0,0,0.05,30,3.6,20
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,Visual Concepts,0.24,0,0,0.02,0.26,75,6.8,52
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,Visual Concepts,0.14,0,0,0.01,0.15,73,7.3,21
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,Rebellion,0.03,0.12,0,0.07,0.22,49,5.6,19
Alien Syndrome,PSP,2007,Role-Playing,Sega,Totally Games,0.07,0,0,0.01,0.08,51,6,9
Alien Syndrome,Wii,2007,Role-Playing,Sega,Totally Games,0.05,0,0,0,0.06,48,7.1,23
Air Traffic Chaos,DS,2007,Simulation,Ertain,Sonic Powered,0.05,0,0,0,0.05,66,1,9
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,Big Huge Games,0,0.05,0,0.01,0.06,81,8.5,71
Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,Ensemble Studios,0,0.02,0,0,0.03,4,7.8,6
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,Project Aces,0.69,0.04,0.22,0.06,1.01,80,7.9,101
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,Hot Lava Games,0.1,0.01,0,0.01,0.13,60,8.3,48
7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,MumboJumbo,0.07,0,0,0.01,0.08,51,2,16
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,Collision Studios,0.27,0.08,0,0.07,0.41,55,7.1,14
Zubo,DS,2008,Misc,Electronic Arts,EA Bright Light,0.08,0.02,0,0.01,0.11,75,7.6,75
Zoo Vet: Endangered Animals,DS,2008,Simulation,505 Games,Legacy Interactive,0.03,0,0,0,0.03,8,2,13
Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,Blue Fang Games,0.04,0.18,0,0.04,0.26,2,8.4,14
Zoo Tycoon 2 DS,DS,2008,Strategy,THQ,Altron,0.24,0.03,0,0.02,0.29,60,5.4,7
Zoo Hospital,Wii,2008,Simulation,Majesco Entertainment,Torus Games,0.14,0.01,0,0.01,0.16,61,2,46
Zenses: Rainforest,DS,2008,Puzzle,Game Factory,Shin'en,0.1,0.01,0,0.01,0.12,59,2,24
Zenses: Ocean,DS,2008,Puzzle,Game Factory,Shin'en,0.1,0.01,0,0.01,0.12,56,1,30
You're in the Movies,X360,2008,Misc,Microsoft Game Studios,Zoe Mode,0.27,0.17,0,0.05,0.48,55,5.5,20
Yggdra Union: We'll Never Fight Alone,PSP,2008,Role-Playing,Sting,Sting,0.05,0,0.04,0.01,0.1,73,7.9,18
X3: Terran Conflict,PC,2008,Simulation,Deep Silver,Egosoft,0,0.02,0,0,0.03,73,7.9,222
WWII Aces,Wii,2008,Simulation,Destineer,Arcade Moon,0.25,0,0,0.02,0.27,41,5.4,18
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,Yuke's,0.69,0,0,0.55,1.24,78,6.9,34
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,Yuke's,0.51,0.3,0.01,0.12,0.94,78,7,49
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,Yuke's,0.58,0.26,0,0.08,0.92,79,7.1,34
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,Yuke's,0.44,0.31,0,0.08,0.83,79,8.5,18
WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,Yuke's,0.41,0.2,0,0.14,0.75,72,6,9
WWE SmackDown vs. Raw 2009,DS,2008,Fighting,THQ,TOSE,0.14,0.02,0,0.01,0.18,58,7.8,6
Worms: A Space Oddity,Wii,2008,Strategy,THQ,Team 17,0.06,0.02,0,0.01,0.08,64,4.3,13
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,Sports Interactive,0,1.14,0,0.01,1.15,83,8.1,30
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,Blizzard Entertainment,0.01,0.13,0,1.18,1.32,91,7.5,930
World of Goo,PC,2008,Puzzle,2D Boy,2D Boy,0,0.03,0,0.01,0.04,90,8.5,607
World Championship Cards,PSP,2008,Misc,Crave Entertainment,Crave,0.19,0,0,0.02,0.2,3,1,41
Wordmaster,DS,2008,Strategy,Zoo Digital Publishing,Sarbakan Inc.,0.09,0,0,0.01,0.09,57,1,6
WordJong Party,Wii,2008,Puzzle,Destineer,Magellan Interactive,0.16,0,0,0.01,0.17,2,2,33
Wordfish,DS,2008,Puzzle,Ubisoft,Ubisoft,0.07,0,0,0.01,0.08,2,2,36
Wonder World Amusement Park,Wii,2008,Misc,Majesco Entertainment,Coyote Console,0.04,0,0,0,0.05,37,4.5,4
Winx Club: Mission Enchantix,DS,2008,Adventure,Konami Digital Entertainment,Powerhead Games,0.03,0.02,0,0,0.06,11,2,38
Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL,49Games,0.17,0.18,0,0.04,0.4,11,2,4
Winter Sports 2: The Next Challenge,PS2,2008,Sports,Conspiracy Entertainment,Crave,0.04,0.03,0,0.01,0.08,10,2,4
Winter Sports 2: The Next Challenge,X360,2008,Sports,RTL,49Games,0.06,0.01,0,0.01,0.07,41,1,5
